"店舗名","最寄駅","掲載URL","公式HP","取得先URL","HTTP","地図数","判定","理由","地図ラベル","緯度","経度","駅緯度","駅経度","駅からの距離m"
"韓美々","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/7ff743ad-48fe-4c26-a5c5-b1421ad938c7/","https://xyz-ks.work/","https://xyz-ks.work/","200","0","hold","座標候補なし","","","","","",""
"美娘（みこ）","蒲田駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/5d040d65-361c-4da2-a24e-dc4e89def7e9/","http://miko.lady.jp/","http://miko.lady.jp/","200","1","hold","地図ラベルなし","","","","","",""
"氷の雪","蒲田駅東口","https://www.esthe-ranking.jp/kamata/shop-detail/4b014522-11e0-471b-b677-9640394d5065/","http://bxue.sh-1.aiohrr.tokyo/","http://bxue.sh-1.aiohrr.tokyo/","403","0","hold","座標候補なし","","","","","",""
"和（なごみ）","蒲田駅西口2分","https://www.esthe-ranking.jp/kamata/shop-detail/91ca6dae-8fac-409f-af1e-a5b72d4629e0/","https://mitsuka.cure-est.com/","https://mitsuka.cure-est.com/","200","2","hold","地図ラベルなし","","","","","",""
"Aroma ELLA","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/9310ba18-d655-4cc1-8b5e-d3fef90bec04/","https://ella.relaxnabi.com/","https://ella.relaxnabi.com/","200","0","hold","座標候補なし","","","","","",""
"Baby face（ベイビーフェース）","三軒茶屋駅南口","https://www.esthe-ranking.jp/sangenjaya/shop-detail/3591c78a-e202-408c-89a9-42a7375896a1/","http://bfa.sh-tlo.xyz/","http://bfa.sh-tlo.xyz/","403","0","hold","座標候補なし","","","","","",""
"PINK CLUB","三軒茶屋駅世田谷通り口","https://www.esthe-ranking.jp/sangenjaya/shop-detail/f0c1b8e4-438f-4aee-bd4b-f7dabcd6c6d2/","http://denennemsg.xyz/","http://denennemsg.xyz/","200","0","hold","座標候補なし","","","","","",""
"Pinky（ピンキー）","三軒茶屋駅南口","https://www.esthe-ranking.jp/sangenjaya/shop-detail/de09dc65-d17b-463f-8a94-69ebe6500dc1/","http://www.es-honey.com/","http://www.es-honey.com/","200","0","hold","座標候補なし","","","","","",""
"さくら","三軒茶屋駅南口A","https://www.esthe-ranking.jp/sangenjaya/shop-detail/73ccbd7e-133d-4aab-810a-dd157425183b/","https://esute-sakura.navi.mn/","https://esute-sakura.navi.mn/","200","1","hold","座標候補なし","","","","","",""
"ドレミ","三軒茶屋駅南口A","https://www.esthe-ranking.jp/sangenjaya/shop-detail/357de399-ce86-4f10-83cc-90bbb04c9a30/","https://doremi-esutea.iest.in/","https://doremi-esutea.iest.in/","200","1","hold","座標候補なし","","","","","",""
"ブリリアンス","三軒茶屋駅世田谷通り口","https://www.esthe-ranking.jp/sangenjaya/shop-detail/89344bf5-f62d-4e74-8797-74e3da99c27c/","http://www.brilliance.mesthe.com/","http://www.brilliance.mesthe.com/","200","0","hold","座標候補なし","","","","","",""
"マカロン","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/6317360c-6f2f-47a5-92ba-f8a7997b2bef/","https://macaron2026.relaxjp.com/","https://macaron2026.relaxjp.com/","200","0","hold","座標候補なし","","","","","",""
"ミラクルエステ","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/a277f127-7c4f-4411-a6c5-05849d55fa56/","http://miraku.sh-himenoyw.work/","http://miraku.sh-himenoyw.work/","200","1","hold","地図ラベルなし","","","","","",""
"愛","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/3af3cf20-b956-4d7f-8a64-f6d75ed72c9c/","https://aiai.ies.fun/","https://aiai.ies.fun/","200","0","hold","座標候補なし","","","","","",""
"甘い夏","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/8163b4bf-9e0e-433b-bf5c-e88f9ba8b412/","https://amainatu.estjp.info/","https://amainatu.estjp.info/","200","0","hold","座標候補なし","","","","","",""
"咲月（さつき）","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/d73be69f-487c-46bf-94d8-abfa4dd8d377/","http://yy.sh-iyq.tokyo/","http://yy.sh-iyq.tokyo/","200","0","hold","座標候補なし","","","","","",""
"蜜（みつ）","三軒茶屋駅北口B","https://www.esthe-ranking.jp/sangenjaya/shop-detail/30dd4525-2a7e-4a65-a43d-bbc942788aad/","https://mitsu.iest.info/","https://mitsu.iest.info/","200","0","hold","座標候補なし","","","","","",""
"蜜姫","三軒茶屋駅","https://www.esthe-ranking.jp/sangenjaya/shop-detail/3c797a63-db75-42b9-ab4b-278d8ad94449/","https://mituhime.relaxjp.com/","https://mituhime.relaxjp.com/","200","0","hold","座標候補なし","","","","","",""
"夢の続きはこちら","三軒茶屋駅南口","https://www.esthe-ranking.jp/sangenjaya/shop-detail/e704fee4-991b-4a4d-8329-3df1bf859191/","http://dream.este88.com/","http://dream.este88.com/","200","1","hold","地図ラベルなし","","","","","",""
"BEST STAR（ベストスター）","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/6589fb18-bb64-4b30-8372-19340553a1b2/","http://hachiojibeststar.xyz/kissbaby.est2.xyz/","http://hachiojibeststar.xyz/kissbaby.est2.xyz/","200","0","hold","座標候補なし","","","","","",""
"REGINA（レジーナ）","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/66fb8e9c-9c99-49ca-b3f1-1c6438645e42/","https://regina2026.estjp.info/","https://regina2026.estjp.info/","200","0","hold","座標候補なし","","","","","",""
"Wanmai（ワンマイ）","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/256cd56a-bdb2-4fc6-9f36-04b1babfd7f4/","https://wanmai-thai.com/","https://wanmai-thai.com/","200","0","hold","座標候補なし","","","","","",""
"アロマラブ","八王子駅北口","https://www.esthe-ranking.jp/hachioji/shop-detail/f80a8733-b6b7-45bf-82d1-c2f77f32f21e/","http://aromalove.est-u.com/","http://aromalove.est-u.com/","200","1","hold","地図ラベルなし","","","","","",""
"キャンディ","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/845255f6-93a5-4bab-b766-e487f27c00c2/","http://candy.jpn.cm/","https://candy.jpn.cm/","200","0","hold","座標候補なし","","","","","",""
"ひまわり","八王子駅南口","https://www.esthe-ranking.jp/hachioji/shop-detail/9d687ac5-8bc3-4f5e-8990-d7947037f8c6/","https://himawari.tyo.cm/","https://himawari.tyo.cm/","200","0","hold","座標候補なし","","","","","",""
"ゆず風味","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/892b032d-9c05-424b-af57-1c0f798a7a64/","https://koimusubi-honey.navi.mn/","https://koimusubi-honey.navi.mn/","200","1","hold","地域範囲外","","","","","",""
"らくらく","八王子駅中央口","https://www.esthe-ranking.jp/hachioji/shop-detail/037b2a23-e21e-42d2-afdc-051522b2a772/","https://rakuraku.estjp.info/","https://rakuraku.estjp.info/","200","0","hold","座標候補なし","","","","","",""
"安心苑","八王子駅南口","https://www.esthe-ranking.jp/hachioji/shop-detail/3608be92-d7e6-46c6-b840-c152c16d4024/","http://www.ai-es.info/","http://www.ai-es.info/","200","0","hold","座標候補なし","","","","","",""
"康楽","八王子駅北口","https://www.esthe-ranking.jp/hachioji/shop-detail/9f16e849-0a8c-46ea-a6c1-3fcab817c951/","http://arm-esthe.com/","http://arm-esthe.com/","200","0","hold","座標候補なし","","","","","",""
"咲き","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/6c2da935-215c-453f-a73d-6f7a6d63bd7c/","http://ojiest888.xyz/","http://ojiest888.xyz/","200","1","hold","地図ラベルなし","","","","","",""
"紫陽花","八王子駅北口","https://www.esthe-ranking.jp/hachioji/shop-detail/cf7407d8-a961-4c6a-a5ef-f33772285cf6/","http://e-hachiouji.com/","http://e-hachiouji.com/","200","0","hold","座標候補なし","","","","","",""
"桃花","八王子駅","https://www.esthe-ranking.jp/hachioji/shop-detail/e607e1b9-a018-40b4-9abb-342eb44b17e4/","https://momoca.rankuens.com/","https://momoca.rankuens.com/","200","0","hold","座標候補なし","","","","","",""
"萌","八王子駅北口","https://www.esthe-ranking.jp/hachioji/shop-detail/9c81880b-3aa4-4153-907d-4c969bd42a19/","http://www.moe-es.link/","http://www.moe-es.link/","200","0","hold","座標候補なし","","","","","",""
"夢艶 （ゆめつや）","八王子駅北口","https://www.esthe-ranking.jp/hachioji/shop-detail/f996e310-f847-4b2d-bc7e-78d27fa60376/","https://mengyan.site/","https://mengyan.site/","200","0","hold","座標候補なし","","","","","",""
"COCO-GARDEN","御徒町駅北口","https://www.esthe-ranking.jp/ueno/shop-detail/5fa65fb3-9358-42f0-a3b5-f45dc078f22a/","http://www.cocogarden.link/","http://www.cocogarden.link/","200","0","hold","座標候補なし","","","","","",""
"Dear（ディア）","御徒町駅南口","https://www.esthe-ranking.jp/ueno/shop-detail/932dcb7e-d3b0-4c0a-96be-2ef81c02ed96/","https://re.uouono.com/","https://re.uouono.com/","200","0","hold","座標候補なし","","","","","",""
"Emi","御徒町駅南口","https://www.esthe-ranking.jp/ueno/shop-detail/6ae83b4d-f835-4684-85ee-c02ad755cd70/","https://www.emi.maesjp.com/","https://www.emi.maesjp.com/","200","0","hold","座標候補なし","","","","","",""
"Lila Spa","御徒町駅","https://www.esthe-ranking.jp/ueno/shop-detail/6f3d6d41-7796-4a27-b104-69ec314b7156/","https://lila-spa-thaimassage.com/","https://lila-spa-thaimassage.com/","200","2","hold","地図ラベルなし","","","","","",""
"Smile（スマイル）","御徒町駅南口","https://www.esthe-ranking.jp/ueno/shop-detail/bb2abdaa-f5a8-40e7-acae-4b27a532b95d/","https://smile.ests.jp/index.html","https://smile.ests.jp/index.html","200","0","hold","座標候補なし","","","","","",""
"アイラック","御徒町駅","https://www.esthe-ranking.jp/ueno/shop-detail/722e0adc-fad6-4491-a5de-f631fba7d2e4/","https://phothong.net/","https://phothong.net/","200","2","hold","座標候補なし","","","","","",""
"エステ・リッツ","御徒町駅北口","https://www.esthe-ranking.jp/ueno/shop-detail/4384e093-20ab-4b2d-b6bd-f16fbe214a70/","https://esthe-ritz.com/","https://esthe-ritz.com/","200","0","hold","座標候補なし","","","","","",""
"マーキュリー","御徒町駅","https://www.esthe-ranking.jp/ueno/shop-detail/81365b8c-6b48-4273-bdcc-e862828efcb4/","http://foryou-es.info/","http://foryou-es.info/","200","1","hold","経路地図または複数地点","","","","","",""
"ヤージャイ","御徒町駅北口","https://www.esthe-ranking.jp/ueno/shop-detail/4a238fa4-18a9-4050-8cf3-9c855ea0e3e5/","https://yajai-thaimassage.com/","https://yajai-thaimassage.com/","200","2","hold","地図ラベルなし","","","","","",""
"安心堂","御徒町駅南口","https://www.esthe-ranking.jp/ueno/shop-detail/9cb20bb5-a62f-483c-809a-102f2dcdb4e7/","http://es-en.info/","http://es-en.info/","200","0","hold","座標候補なし","","","","","",""
"楽しい","御徒町駅","https://www.esthe-ranking.jp/ueno/shop-detail/697f775a-e37f-4621-83de-9febf3130a66/","https://tanoshi.iest.in/","https://tanoshi.iest.in/","200","1","hold","座標候補なし","","","","","",""
"月兎（ゲット）","御徒町駅南口","https://www.esthe-ranking.jp/ueno/shop-detail/ce4d6a9c-fd05-4d6a-91b4-9a7b3a919956/","https://moon-rabbit.info/","https://moon-rabbit.info/","200","0","hold","座標候補なし","","","","","",""
"夜桜","御徒町駅南口","https://www.esthe-ranking.jp/kamata/shop-detail/0d2736f1-33c2-4b95-9348-162e85f4b017/","http://www.yozakura.relaxmens.com/","http://www.yozakura.relaxmens.com/","200","1","hold","地図ラベルなし","","","","","",""
"癒やし空間","御徒町駅","https://www.esthe-ranking.jp/ueno/shop-detail/b1554a13-bbca-4f01-9384-8f370f3a9a55/","https://healing-spasce.iest.in/","https://healing-spasce.iest.in/","200","1","hold","座標候補なし","","","","","",""
"Dear～ディア～ 府中店","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/92323103-d160-4239-bb9a-a583a1cf87fe/","https://dear.ests.jp/","https://dear.ests.jp/","200","0","hold","座標候補なし","","","","","",""
"Mermaid（マーメイド）","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/db1d2940-c7d9-424b-a849-2cccfc205b89/","https://est-crystal.com/","https://est-crystal.com/","200","1","hold","地図ラベルなし","","","","","",""
"ニーハオ","府中駅東","https://www.esthe-ranking.jp/fuchu/shop-detail/94e69661-91a9-4ea3-99ba-e57da114b83a/","https://nihao.vi-aroma.xyz/","https://nihao.vi-aroma.xyz/","200","0","hold","座標候補なし","","","","","",""
"ミセス美オーラ","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/6d123f5c-b6e7-40c5-8fe1-0ddd00ed9309/","https://www.relaxsalon.xyz/mssbor/","https://www.relaxsalon.xyz/mssbor/","200","0","hold","座標候補なし","","","","","",""
"もみ娘","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/9d227300-311b-45ed-b939-49dcfdc72a2a/","http://momimomimomi.xyz/","http://momimomimomi.xyz/","200","0","hold","座標候補なし","","","","","",""
"音～オン～","府中駅南口","https://www.esthe-ranking.jp/fuchu/shop-detail/f015ed07-3cca-4807-8cc5-0886c9ee2cd3/","https://fu-oto.xyz/","https://fu-oto.xyz/","200","0","hold","座標候補なし","","","","","",""
"可愛い猫ちゃん","府中駅東口","https://www.esthe-ranking.jp/fuchu/shop-detail/d91991aa-f3c8-47c4-9db9-b2720e2535d2/","https://kawaineco.relaxya.jp/","https://kawaineco.relaxya.jp/","200","0","hold","座標候補なし","","","","","",""
"花咲","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/94111f93-7164-4a7c-a3b9-a63849d8ac19/","http://fuchumsg.online/","http://fuchumsg.online/","200","0","hold","座標候補なし","","","","","",""
"花水木","府中駅南口","https://www.esthe-ranking.jp/fuchu/shop-detail/17228b7e-443f-4626-803f-ac5fff188ebf/","https://hanamizuki.tyo.cm/","https://hanamizuki.tyo.cm/","200","0","hold","座標候補なし","","","","","",""
"甘えん坊","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/37af1ca9-2924-4d34-8544-0b9c1f553c04/","http://gkgy.mensrelax.net/","http://gkgy.mensrelax.net/","200","0","hold","座標候補なし","","","","","",""
"銀の鈴","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/1371beb0-88a1-4110-82f7-8e487a43187b/","http://www.ginnosuzu.relaxjp.info/","http://www.ginnosuzu.relaxjp.info/","200","0","hold","座標候補なし","","","","","",""
"激アツのコイ","府中駅","https://www.esthe-ranking.jp/fuchu/shop-detail/4be87cf9-69e0-470d-bfd3-ec290813dcbf/","https://www.relaxsalon.xyz/cxtyn8/","https://www.relaxsalon.xyz/cxtyn8/","200","0","hold","座標候補なし","","","","","",""
"静","府中駅北口","https://www.esthe-ranking.jp/fuchu/shop-detail/32fa0055-40b9-4e4a-842d-ffc5e8302177/","http://www.shizuka.estyojp.com/","http://www.shizuka.estyojp.com/","200","0","hold","座標候補なし","","","","","",""
"癒し苑","府中駅南口","https://www.esthe-ranking.jp/fuchu/shop-detail/c01bfca5-ec47-4c91-9c91-6a2eda5ddea3/","http://iyashien-est.com/","http://iyashien-est.com/","200","0","hold","座標候補なし","","","","","",""
"bad kitty","荻窪駅","https://www.esthe-ranking.jp/ogikubo/shop-detail/dcbd0db2-0b55-4fed-99f1-8ce833d116f8/","http://bad-kitty.xin-olpi.online/","http://bad-kitty.xin-olpi.online/","403","0","hold","座標候補なし","","","","","",""
"CANEEL～キャネール～","荻窪駅南口","https://www.esthe-ranking.jp/ogikubo/shop-detail/ce18e86c-5382-404f-87f8-a31e37f23d41/","https://caneel.raku.work/","https://caneel.raku.work/","200","0","hold","座標候補なし","","","","","",""
"FULA FULA","荻窪駅","https://www.esthe-ranking.jp/ogikubo/shop-detail/eb5306fa-9219-4d13-b164-d5c4a0661cca/","http://ogigigikubo.xyz/","http://ogigigikubo.xyz/","200","0","hold","座標候補なし","","","","","",""
"kokoro（こころ）","荻窪駅南口","https://www.esthe-ranking.jp/ogikubo/shop-detail/5be662d5-7c70-4240-9e03-5a2cf54bb579/","https://kokoro.tyo.cm/","https://kokoro.tyo.cm/","200","0","hold","座標候補なし","","","","","",""
"Mistuki～見月～","荻窪駅西口","https://www.esthe-ranking.jp/ogikubo/shop-detail/10a6587c-7ec1-4893-92c3-2fbc35195204/","http://mitsuki-relax.este88.com/","http://mitsuki-relax.este88.com/","200","0","hold","座標候補なし","","","","","",""
"SPA ONLY ONE","荻窪駅北口","https://www.esthe-ranking.jp/ogikubo/shop-detail/f77634bd-a9a5-4609-a963-fc20f9d5f463/","https://spa-only-one.jpn.mn/","https://spa-only-one.jpn.mn/","200","0","hold","座標候補なし","","","","","",""
"ショコラ","荻窪駅西口","https://www.esthe-ranking.jp/ogikubo/shop-detail/ffffb72a-ebe6-47d6-b054-e97200fcc8da/","http://es-chocolat.xyz/","http://es-chocolat.xyz/","200","0","hold","座標候補なし","","","","","",""
"ピュア","荻窪駅北口5分","https://www.esthe-ranking.jp/ogikubo/shop-detail/0d290f6b-bba8-42a0-a885-5d1ae099a6ee/","http://sh-ogikubopure.xyz/","http://sh-ogikubopure.xyz/","200","1","hold","地図ラベルなし","","","","","",""
"フルール","荻窪駅南口","https://www.esthe-ranking.jp/ogikubo/shop-detail/1246229e-b663-4e0b-acc6-e47b58b8da71/","http://fleur.japan-esthe.work/","http://fleur.japan-esthe.work/","200","2","hold","地図ラベルなし","","","","","",""
"もえ娘","荻窪駅西口","https://www.esthe-ranking.jp/ogikubo/shop-detail/0c93dad9-26c0-468d-8fb0-28f6233ce132/","http://moemusume.este88.com/","http://moemusume.este88.com/","200","1","hold","地図ラベルなし","","","","","",""
"ラキュア","荻窪駅南口","https://www.esthe-ranking.jp/ogikubo/shop-detail/658a2588-7393-4362-98df-d4685bd7edb7/","http://lacure.oks.bz/","https://lacure.oks.bz/","200","0","hold","座標候補なし","","","","","",""
"ワクワク","荻窪駅南口","https://www.esthe-ranking.jp/ogikubo/shop-detail/408dc84c-507f-4b45-94a8-97688c860332/","http://wakuwaku.este88.com/","http://wakuwaku.este88.com/","200","1","hold","地図ラベルなし","","","","","",""
"20代のbaby","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/c9f26c65-a9b4-4e8b-9b9a-e498c61bf075/","https://lucky2-iesw.navi.mn/","https://lucky2-iesw.navi.mn/","200","0","hold","座標候補なし","","","","","",""
"for you（フォーユー）","上野駅浅草口","https://www.esthe-ranking.jp/ueno/shop-detail/9de3f025-e2ca-437e-b015-360fb73bee7c/","http://www.for-you-ueno.net/","http://www.for-you-ueno.net/","200","1","hold","地図ラベルなし","","","","","",""
"さくらんぼ","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/fb5c289c-1d88-45a1-b94b-6bbcb52ebfca/","http://saku.sh-leiwan.tokyo/","http://saku.sh-leiwan.tokyo/","403","0","hold","座標候補なし","","","","","",""
"チェンマイ","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/b6bf78dc-e262-419c-84b7-57b6d4a0dbb4/","https://chiangmaithaimassage.net/","https://chiangmaithaimassage.net/","200","2","hold","座標候補なし","","","","","",""
"パッタナースパ","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/0d57772d-2e30-4dc3-ab58-fe6f0511559e/","https://pattana-spa-thaimassage.com/","https://pattana-spa-thaimassage.com/","200","1","hold","地図ラベルなし","","","","","",""
"ベトナムLOVE","上野駅入谷口","https://www.esthe-ranking.jp/ueno/shop-detail/93639029-f075-4440-81c3-867b10e48a08/","http://sh-mai.jtxhti.tokyo/","http://sh-mai.jtxhti.tokyo/","403","0","hold","座標候補なし","","","","","",""
"ベトナム人NEWSPA 上野駅と秋葉原駅店","上野駅入谷口","https://www.esthe-ranking.jp/ueno/shop-detail/caada850-8365-4840-a07c-e4f6433f7193/","https://newspa-purplespa.navi.mn/","https://newspa-purplespa.navi.mn/","200","1","hold","地図ラベルなし","","","","","",""
"ベトナム美癒し館","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/c411d1ed-9bcb-4ce9-8726-b20475b0edf1/","https://whiterose-esute.navi.mn/","https://whiterose-esute.navi.mn/","200","1","hold","地図ラベルなし","","","","","",""
"ラックン","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/19d41052-8291-4b9c-a265-d12fcafcf04a/","https://www.rakkunueno.com/","https://www.rakkunueno.com/","200","1","hold","座標候補なし","","","","","",""
"女手","上野駅浅草口","https://www.esthe-ranking.jp/ueno/shop-detail/946e6fd6-7b79-4c45-b146-f7a71b9f4b31/","https://www.ueno-assistant.com/","https://www.ueno-assistant.com/","200","0","hold","座標候補なし","","","","","",""
"蝶々（ちょうちょう）","上野駅入谷口","https://www.esthe-ranking.jp/ueno/shop-detail/975a2272-2c91-4caa-8453-f61093495af1/","https://sweety-est.net/","https://sweety-est.net/","200","0","hold","座標候補なし","","","","","",""
"魅惑の女","上野駅","https://www.esthe-ranking.jp/ueno/shop-detail/9ff061e1-e66c-46c7-b87e-39d9f07217f4/","http://mhoi.sh-fza.tokyo/","http://mhoi.sh-fza.tokyo/","403","0","hold","座標候補なし","","","","","",""
"CARNET （カルネ）","門前仲町駅","https://www.esthe-ranking.jp/monnaka/shop-detail/93630c2f-6f42-4fea-bc89-4e9ed16a87a2/","http://koukoku.xyz/carnet/","http://koukoku.xyz/carnet/","200","0","hold","座標候補なし","","","","","",""
"momiyoshi","門前仲町駅6番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/877c70d1-2d36-414d-b0d7-383d5d9e18a4/","http://www.momiyoshi.mesthe.com/","http://www.momiyoshi.mesthe.com/","200","0","hold","座標候補なし","","","","","",""
"ORION（オリオン）","門前仲町駅5番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/eab89bd9-1b7b-4db5-ac3e-885614035b73/","https://momoka.rgr.jp/","https://momoka.rgr.jp/","200","0","hold","座標候補なし","","","","","",""
"Papaya","門前仲町駅","https://www.esthe-ranking.jp/monnaka/shop-detail/c26951a2-3536-4311-bdbe-55d48e599397/","https://hi-msg.com/papaya-monzen/","https://hi-msg.com/papaya-monzen/","200","0","hold","座標候補なし","","","","","",""
"Private Salon（プライベートサロン）","門前仲町駅4番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/8bcbac54-bb44-42f3-9b2c-e6be89642489/","http://privatesalon.este88.com/","http://privatesalon.este88.com/","200","0","hold","座標候補なし","","","","","",""
"花の女","門前仲町駅","https://www.esthe-ranking.jp/monnaka/shop-detail/b47388b6-351f-4201-b7f0-ee7d823f3372/","http://monzen-massage.xyz/","http://monzen-massage.xyz/","200","1","hold","地図ラベルなし","","","","","",""
"桂苑（カツラエン）","門前仲町駅3番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/354a0cbf-56a3-46cb-89cd-c2979da9e78b/","http://massage-tokyo.xyz/","http://massage-tokyo.xyz/","200","0","hold","座標候補なし","","","","","",""
"秘密の癒し部屋","門前仲町駅6番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/05e3c705-caac-4975-8857-7a2d9a8e17a9/","https://himituheya.esmens.com/","https://himituheya.esmens.com/","200","0","hold","座標候補なし","","","","","",""
"唯一","門前仲町駅4番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/62a4b38f-1da3-41e7-a01b-a3855e574e0e/","https://monzenyuitu.iest.xyz/","https://monzenyuitu.iest.xyz/","200","0","hold","座標候補なし","","","","","",""
"恋人ごっこ","門前仲町駅4番出口","https://www.esthe-ranking.jp/monnaka/shop-detail/633f1ea3-e796-4e1f-80f6-db36bfdf93dd/","https://hi-msg.com/koibito55-monzen/","https://hi-msg.com/koibito55-monzen/","200","0","hold","座標候補なし","","","","","",""
"kiss me","大井町駅西口","https://www.esthe-ranking.jp/kamata/shop-detail/8ff6b5ca-9ca1-4184-a12d-5836b8c13247/","http://kiss.sh-ile.tokyo/","http://kiss.sh-ile.tokyo/","200","0","hold","座標候補なし","","","","","",""
"OLALA（オララ）","大井町駅","https://www.esthe-ranking.jp/kamata/shop-detail/1037d5c5-fee0-42b2-9bcb-cf128d523118/","http://olala.sh-.sexyprincess.tokyo/","http://olala.sh-.sexyprincess.tokyo/","403","0","hold","座標候補なし","","","","","",""
