店舗名,最寄駅,住所または座標,緯度,経度,掲載URL,オフィシャルHP,備考,電話,営業
やすらぎ,長堀橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/shinsaibashi/shop-detail/5ecf881b-986e-40c8-8171-6c22fd34524b/,https://shop.es-johokan.com/yasuragi-o/,長堀橋駅7番出口,080-6017-4154,12:00～LAST
好き好き,長堀橋駅1番出口,■大阪府,,,https://www.esthe-ranking.jp/shinsaibashi/shop-detail/9cb34804-99cd-4739-b637-8b1af9c610ad/,https://www.sukisuki184.info/,長堀橋駅1番出口,070-7582-1919,12:00～翌 05:00
満点girl,近鉄日本橋駅,大阪府大阪市中央区日本橋１丁目１２−１０,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/9d3e731f-0cb5-41f6-8e3f-044dfc9e07ee/,http://perfect-girl.menzu-nsh.sbs/,日本橋 7 番出口、国立小劇場に到着したらご連絡ください。,090-5259-6437,24時間営業
mini house,日本橋駅6番出口,近鉄日本橋駅 大阪府大阪市中央区日本橋１丁目１８−１４,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/cad21a83-1db6-4d81-b20d-3c78de366adb/,http://axc.kaj-esute.asia/,日本橋6番出口に着いたら、お電話ください。,080-8182-2345,10:00～翌 05:00
Peach Pie,新今宮駅,"34.649297600446566, 135.50308476668576",34.649297600446566,135.50308476668576,https://www.esthe-ranking.jp/osakaminami/shop-detail/a8861cc0-a570-4ed3-8454-4b95b867c999/,http://peach-pie.ranghot.vip/,新今宮駅徒歩2分,090-7646-7254,10:30～翌 01:30
丸美（まるみ）,日本橋駅8番出口,大阪府大阪市中央区高津３丁目２−３２,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/3cab02a5-fba4-4417-8940-51fe82925295/,http://fhz.bdh-esute.asia/,日本橋駅8番出口に着きましたらお電話ください。/スタッフが詳しい道順をご説明いたします。,070-4172-4116,24時間営業
ベトナム姫ちゃん,近鉄日本橋駅5番出口,"34.66653908984956, 135.5067478501654",34.66653908984956,135.5067478501654,https://www.esthe-ranking.jp/osakaminami/shop-detail/12e5c1da-743f-45bf-a145-3005d12ee686/,http://princess.xin-uel.online/,近鉄日本橋駅⑤番出口 に着きましたら、ご連絡ください,080-2877-4181,11:00～翌 02:00
蘭スパ,なんば駅,大阪府大阪市中央区千日前１丁目９−１２,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/356d02f8-1cb1-4fd3-9637-2fac5bc19eec/,http://lan.ssi-esute.asia/,近鉄/なんば駅から徒歩約3分/日本橋駅から249m,06-6211-2343,11:00～翌 03:00
one by one（ワンバイワン）,日本橋駅8番出口,"34.66651575146191, 135.50982861226848",34.66651575146191,135.50982861226848,https://www.esthe-ranking.jp/osakaminami/shop-detail/73881cd0-ad00-4606-8664-f8bd085ffd0f/,http://jdia.dji-esute.asia/,日本橋駅8番出口，谷町九町目に着きましたらお電話ください。,090-9268-8666,24時間営業
恋愛空間,日本橋駅,"34.66404823546316, 135.50633244165394",34.66404823546316,135.50633244165394,https://www.esthe-ranking.jp/osakaminami/shop-detail/26b04265-b0b9-4c0c-950c-1f973192e3bc/,http://love-space.sh-her.tokyo/,日本橋駅徒歩2分,050-6872-1743,11:00～翌 02:00
ホワイトローズ,日本橋駅7番出口,大阪府大阪市中央区日本橋１丁目１２−１０ 国立文楽劇場,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/b0c56ef8-125d-4f39-a439-16432bd91390/,https://whiterose.ests.jp/,日本橋駅7番出口徒歩2分,080-4561-5228,12:00～LAST
夜の秘密,なんば駅,大阪府大阪市中央区道頓堀２丁目１−１,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/db665962-7e69-455d-b7ec-7d34f129be16/,http://secrets.xin-huf.online/,吉野家 御堂筋難波店 に着きましたら、ご連絡ください。,090-2199-9692,24時間営業
シンチャオベトナム,日本橋駅10番出口,日本橋駅,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/644dcdfe-8fc9-4a4a-86d4-04910a157e44/,http://sinchao-vietnam.menzu-lao.sbs/,日本橋駅10番出口に着きましたらご連絡ください,090-7217-2224,11:00～LAST
さくら姫ちゃん,近鉄日本橋駅,大阪府大阪市中央区日本橋1丁目2-2,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/5aa8d2c1-028b-4bf3-b9e6-e32bb9233810/,http://skr-hc.ranghot.vip/,アクセス欄に住所あり,080-7823-8247,10:30～翌 01:30
香りアロマ,近鉄日本橋駅,近鉄日本橋駅 大阪府大阪市中央区日本橋１丁目１８−１４,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/a056a8cf-ca91-45b3-8759-8f675ba1576e/,http://kaori-a.xhh-tokyo.vip/,地図の位置に着きましたら、ご連絡ください。,080-2367-9717,10:30～翌 01:30
セクシー少女,難波駅,大阪府大阪市中央区道頓堀２丁目２−６,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/3a55a1a9-49d3-403a-bac9-9ccf99d0f825/,https://sexy-flower.com/,アクセス欄に住所あり,090-6555-6499,24時間営業
やんちゃ姫,難波駅,"34.66327318100363, 135.50265533582143",34.66327318100363,135.50265533582143,https://www.esthe-ranking.jp/osakaminami/shop-detail/2a6f91f3-76e4-455a-97f6-07243beb0334/,http://yancha.sh-kp.tokyo/,ここに着きましたら、お電話ください。,090-8427-1706,11:00～LAST
桜川店幸せだよ,桜川駅1番出口,大阪府大阪市浪速区桜川４丁目３−番２２号,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/caf265aa-f81e-4b46-a9f0-38d8f88ca605/,http://happy-koss.ika-111.site/,地図の位置に着きましたら、ご連絡ください。,070-8343-3225,11:30～翌 02:00
VIPタイちゃい,日本橋駅7番出口,"34.667719028582646, 135.5091681251682",34.667719028582646,135.5091681251682,https://www.esthe-ranking.jp/osakaminami/shop-detail/da214bcd-f1d7-49d2-9292-f6a4becc6ff6/,https://www.viptaicha184.info/,日本橋駅7番出口徒歩2分,090-6664-4047,12:00～翌 05:00
ユフラ,恵美須町駅,大阪市浪速区日本橋5-10-2,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/02b4f03c-7097-4679-b35a-aad0f8a5e1d0/,https://yufura.my.canva.site/,恵美須町駅徒歩3分、真面目なリラクゼーションオイルマッサージ。全身しっかりオールハンド。,090-6432-0113,11:00～LAST
嬢熱OSAKA,動物園前駅9番出口,大阪府大阪市西成区太子１丁目６−１２,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/65955e95-339a-41ec-98b4-03b2e5af004e/,http://piepanic.hl-web23.work/,「動物園前駅9番出口」に着いたら、お電話ください。,080-2946-9130,11:00～LAST
Thai Sabai（タイさばい）,日本橋駅7番出口,阪府大阪市中央区日本橋1丁目10-12,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/93729a73-e4e4-413d-ac9c-6d87eda79227/,http://tai.sh-mdk.tokyo/,地図付近着いたら、お電話下さい。,080-9742-6611,12:00～LAST
姫様のしろ,近鉄日本橋駅,近鉄日本橋駅,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/1e2a4a7e-b591-409a-bc45-0ac1f964bbb7/,http://unsuu.mensrelax.net/,アクセス欄に住所あり,050-6882-1824,11:00～翌 02:00
キュートベビー,日本橋駅7番出口,大阪府大阪市中央区高津2,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/a1159b6e-1996-4434-a501-f846793d1871/,https://cutebaby-184.penne.jp/,日本橋駅近くのリラクゼーションエステのお店です。完全個室のプライベートサロンとなります。日本橋7番出口付近からお電話いただければスムーズに案内できると思います。当店は完全電話予約制となっております。,070-9220-5214,12:00～翌 05:00
U-room（ユールーム）,日本橋駅7番出口,大阪府大阪市中央区日本橋１丁目１２−１０,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/f5ded223-2f45-4367-b8e3-2f7b40a78c69/,https://moncher.iest.info/,日本橋駅7番出口徒歩2分,080-4011-5228,12:00～翌 03:00
チュウリぴゅ,大国町駅1番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/14fc278f-5bd7-45d5-a08c-c9b6e221e0b1/,https://www.tulipyu184.info/,大国町駅1番出口,080-9121-9977,11:00～翌 05:00
恋人デートエステ,大国町駅4番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/99675ace-7cca-44eb-81ef-1b4c4348d298/,https://www.koibitodetodaiko184.info/,大国町駅4番出口徒歩1分,070-3603-4418,11:00～LAST
秘め姫21,大国町駅3番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/0e9c5950-3cf9-4767-a30b-e336da9d6302/,https://www.himehime21184.info/,大国町駅3番出口,070-1765-6565,11:00～翌 05:00
恋のマシマシSPA,大国町駅3番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/41bd961a-c56f-4dd0-8b9f-0a9b1048257e/,https://www.koimasimasi184.info/,大国町駅3番出口,070-1749-7742,11:00～翌 05:00
アジア美女の部屋,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/9af73c35-1bc3-46e2-b984-0c383aea4894/,https://www.asiabjyoheya184.info/,日本橋駅7番出口,080-8147-2295,11:00～翌 05:00
美獣（びじゅう）,日本橋駅2番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/1e7d5df7-874c-4255-9de3-6b3d04776b68/,https://shop2.es-johokan.com/biju/,日本橋駅2番出口,090-4575-8674,10:00～22:00
バラ,日本橋駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/3b7a3a34-0847-4863-8f0a-a9fd2fff93a5/,https://www.baranihonba184.info/,日本橋駅5番出口,080-6693-8989,12:00～翌 05:00
癒しの空間,日本橋駅6番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/862f5712-0cd0-43ee-a96f-3ffff328f182/,https://shop2.es-johokan.com/iyashinokukan-n/,日本橋駅6番出口,080-2944-5041,24時間営業
スケVガール,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/bca2ab4f-3816-4b29-9254-2de04a5f394b/,https://www.sukevgal184.info/,日本橋駅7番出口,070-4787-5588,11:00～翌 01:00
Youki （陽気）,日本橋駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/f80119b8-d845-4471-a550-5986ac3a38d1/,https://www.youki184.info/,日本橋駅5番出口,090-1925-5158,24時間営業
SUN（サン）,難波駅25番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/af7e2426-a8b4-4908-b6c9-e0817b4b8741/,https://shop.es-johokan.com/sun/,難波駅25番出口,070-1780-5588,12:00～LAST
ミナミ,日本橋駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/bf6208e4-d799-4797-a5fd-179c6ceb0b46/,http://minamimassage.loveyaku.com/,日本橋駅5番出口徒歩2分,080-9609-5066,12:00～LAST
ロイヤル,日本橋駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/104ec32f-5261-4e88-86bc-9297f84ef6e1/,https://www.kansai-es.com/royal/,日本橋駅5番出口,06-6644-5776,11:30～翌 02:30
笑顔,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/baefd502-f629-4f8b-88fa-9979fb28c6f7/,https://shop2.es-johokan.com/egao-n/,日本橋駅7番出口,090-9986-8688,10:00～翌 01:00
美人SPA,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/798f46ee-b38d-4300-953a-f9bcd635bd8f/,https://www.bijinspaniho184.info/,日本橋駅7番出口,090-4603-9685,11:00～翌 05:00
濡れ濡れSPA,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/5d009721-5af1-4d92-9300-4bdf378ad0c2/,https://www.nurenurespa184.info/,日本橋駅7番出口,070-9129-2365,12:00～翌 05:00
ALFA by theSea（アルファバイザシー）,日本橋駅6番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/73250ef5-014b-4b88-92f8-dbb841650752/,https://www.alfa1688.com/,日本橋駅6番出口 徒歩2分,090-9268-7799,12:00～LAST
Alice（アリス）,難波駅E7出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/ed033e3a-e0c4-4c45-a641-7f7397573374/,http://www.alice184.info/,アクセス欄に住所あり,090-3706-0778,12:00～翌 02:00
恋メンズエステ,なんば駅,大阪・大阪市浪速区難波中 メンズエステ,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/2ce770be-f139-4610-b6e7-eea13c05309b/,http://koimassage.loveyaku.com/,なんば駅徒歩2分,080-9166-8298,12:00～LAST
艶女美人（えんじょびじん）,難波駅5番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/2f7aafeb-36bf-4022-8da5-1e4a1f83d360/,http://www.osakanamba-massage-girl.net/,難波駅5番出口,080-3828-2185,12:00～LAST
サパ,なんば駅14番口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/d1fdcac8-ba33-4987-bb47-7d2a9e9ca877/,https://www.kansai-es.com/sapa/,なんば駅14番口,06-6214-2468,11:00～翌 02:00
夢の彼女,日本橋駅7番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/c6523d82-2baf-4643-a374-362e57bdf5b6/,https://www.yumekanoj184.info/,日本橋駅7番出口,080-4308-6868,11:00～翌 05:00
ドキドキスタイル,日本橋駅10番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/37c8c942-c76f-43dc-9bb0-0fdc7cde11a4/,https://shop2.es-johokan.com/dokidokistyle/,日本橋駅10番出口,080-8084-0077,11:00～翌 01:00
H＆B,日本橋駅2番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/70e0d3b7-3a7f-4a97-b198-9601ad72de09/,https://shop2.es-johokan.com/h-b-relaxation/,日本橋駅2番出口,06-6212-2966,13:00～翌 03:00
泡姬ヤラピー,難波駅32番出口,■大阪府,,,https://www.esthe-ranking.jp/osakaminami/shop-detail/7d963112-9a0e-44ee-92db-5eb84e372256/,http://awa.sh-leiwan.tokyo/,難波駅32番出口徒歩3分,070-5694-6888,11:00～翌 02:00
