"優先度","候補種別","駅グループ","同駅件数","店舗名","最寄駅","掲載URL","候補数","自動適用","保留理由","候補住所","緯度","経度","候補メモ"
"20","manual","西中島南方駅","29","びしょ濡れ悪魔","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/00bf2f26-3966-4444-b978-5231dfcfd509/","0","保留","候補なし","","","",""
"21","manual","西中島南方駅","29","ピンクウサギ","西中島南方駅2番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/6fc47533-ead3-4da2-900c-7f59a56ceefb/","0","保留","候補なし","","","",""
"22","manual","西中島南方駅","29","ムチピチ彼女","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/630342bc-5b47-46db-8259-0dd2f0755f46/","0","保留","候補なし","","","",""
"23","manual","西中島南方駅","29","ムラットAroma","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/b979b6f3-47bb-4847-9b41-d72db73846b0/","0","保留","候補なし","","","",""
"24","manual","西中島南方駅","29","もみもみの木であいましょう","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/b8910fa0-98c6-4f6d-8178-d21eca96790e/","0","保留","候補なし","","","",""
"25","manual","西中島南方駅","29","リラマ～RiRaMa～","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/3b2c24d8-e5e3-4d3a-98b5-687d82d41651/","0","保留","候補なし","","","",""
"26","manual","西中島南方駅","29","幸福","西中島南方駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/ec1ba708-25a1-42ec-bc0f-0d8b6042b768/","0","保留","候補なし","","","",""
"27","manual","西中島南方駅","29","水上花〜minakamihana〜","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/eee27250-6794-4961-b057-035c18d70071/","0","保留","候補なし","","","",""
"28","manual","西中島南方駅","29","猫の誘惑","西中島南方駅2番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/dcd0e477-3234-4895-a3e7-049527187a63/","0","保留","候補なし","","","",""
"29","manual","西中島南方駅","29","妹CLUB","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/afac869d-276f-4f9d-b5ef-d155cf6f79b4/","0","保留","候補なし","","","",""
"30","manual","西中島南方駅","29","未来～Mirai～","西中島南方駅1番出口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/4f5ad041-d74c-4d7a-98db-634a0c9a8d8a/","0","保留","候補なし","","","",""
"31","manual","日本橋駅","21","ALFA by theSea（アルファバイザシー）","日本橋駅6番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/73250ef5-014b-4b88-92f8-dbb841650752/","0","保留","候補なし","","","",""
"32","manual","日本橋駅","21","BlueSpa（ブルースパ）","日本橋駅2番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/e3c436cd-97cb-4cc5-bf77-a1f0a96e37ef/","0","保留","候補なし","","","",""
"33","manual","日本橋駅","21","H＆B","日本橋駅2番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/70e0d3b7-3a7f-4a97-b198-9601ad72de09/","0","保留","候補なし","","","",""
"34","manual","日本橋駅","21","Youki （陽気）","日本橋駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/f80119b8-d845-4471-a550-5986ac3a38d1/","0","保留","候補なし","","","",""
"35","manual","日本橋駅","21","YUU（ユー）","日本橋駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/d0e7f8f8-cc9e-4ed6-9ac8-0f52df879055/","0","保留","候補なし","","","",""
"36","manual","日本橋駅","21","アジア美女の部屋","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/9af73c35-1bc3-46e2-b984-0c383aea4894/","0","保留","候補なし","","","",""
"37","manual","日本橋駅","21","シンチャオベトナム","日本橋駅10番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/644dcdfe-8fc9-4a4a-86d4-04910a157e44/","0","保留","候補なし","","","",""
"38","manual","日本橋駅","21","スケVガール","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/bca2ab4f-3816-4b29-9254-2de04a5f394b/","0","保留","候補なし","","","",""
"39","manual","日本橋駅","21","デカメロン美女","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/191b65f1-7c35-4a95-8bf8-497e9e217bef/","0","保留","候補なし","","","",""
"40","manual","日本橋駅","21","ドキドキスタイル","日本橋駅10番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/37c8c942-c76f-43dc-9bb0-0fdc7cde11a4/","0","保留","候補なし","","","",""
"41","manual","日本橋駅","21","バラ","日本橋駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/3b7a3a34-0847-4863-8f0a-a9fd2fff93a5/","0","保留","候補なし","","","",""
"42","manual","日本橋駅","21","プリンプリン彼女","日本橋駅8番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/52727afc-7072-4db6-9935-bdacc6687a16/","0","保留","候補なし","","","",""
"43","manual","日本橋駅","21","ミナミ","日本橋駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/bf6208e4-d799-4797-a5fd-179c6ceb0b46/","0","保留","候補なし","","","",""
"44","manual","日本橋駅","21","ロイヤル","日本橋駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/104ec32f-5261-4e88-86bc-9297f84ef6e1/","0","保留","候補なし","","","",""
"45","manual","日本橋駅","21","乙女ベッド","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/f8ce0ad7-fb9e-432f-82fb-cc1f79ae0027/","0","保留","候補なし","","","",""
"46","manual","日本橋駅","21","笑顔","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/baefd502-f629-4f8b-88fa-9979fb28c6f7/","0","保留","候補なし","","","",""
"47","manual","日本橋駅","21","濡れ濡れSPA","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/5d009721-5af1-4d92-9300-4bdf378ad0c2/","0","保留","候補なし","","","",""
"48","manual","日本橋駅","21","美獣（びじゅう）","日本橋駅2番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/1e7d5df7-874c-4255-9de3-6b3d04776b68/","0","保留","候補なし","","","",""
"49","manual","日本橋駅","21","美人SPA","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/798f46ee-b38d-4300-953a-f9bcd635bd8f/","0","保留","候補なし","","","",""
"50","manual","日本橋駅","21","夢の彼女","日本橋駅7番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/c6523d82-2baf-4643-a374-362e57bdf5b6/","0","保留","候補なし","","","",""
"51","manual","日本橋駅","21","癒しの空間","日本橋駅6番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/862f5712-0cd0-43ee-a96f-3ffff328f182/","0","保留","候補なし","","","",""
"52","manual","十三駅","10","Angelの恋（エンジェルのこい）","十三駅","https://www.esthe-ranking.jp/juso/shop-detail/2f5f0124-a12b-4d4b-8c62-e5b08be3c4cd/","0","保留","候補なし","","","",""
"53","manual","十三駅","10","Dearest（ディアレスト）","十三駅西出口","https://www.esthe-ranking.jp/juso/shop-detail/16590160-bae0-4fe0-9e27-bf9abe5d7a65/","0","保留","候補なし","","","",""
"54","manual","十三駅","10","なごみ庵","十三駅西出口","https://www.esthe-ranking.jp/juso/shop-detail/c27aec83-e63a-4a4b-a9eb-aaf20ee80191/","0","保留","候補なし","","","",""
"55","manual","十三駅","10","フェアリー 妖精","十三駅西口","https://www.esthe-ranking.jp/juso/shop-detail/3dc6e12e-226d-42de-bd47-62ba8fb1ea63/","0","保留","候補なし","","","",""
"56","manual","十三駅","10","ベトナムピーチ","十三駅","https://www.esthe-ranking.jp/juso/shop-detail/e04dc959-6361-446a-a446-f3af37265089/","0","保留","候補なし","","","",""
"57","manual","十三駅","10","ベリーベリー","十三駅西口","https://www.esthe-ranking.jp/juso/shop-detail/40d9e6ac-f670-46c8-858f-3a2ba453a381/","0","保留","候補なし","","","",""
"58","manual","十三駅","10","喜","十三駅東口","https://www.esthe-ranking.jp/juso/shop-detail/e71d0cd2-a75b-4608-a09b-73e53c49dd51/","0","保留","候補なし","","","",""
"59","manual","十三駅","10","憩い","十三駅東口","https://www.esthe-ranking.jp/juso/shop-detail/b01dbc18-ac41-4bde-a77a-72486d3ae0e2/","0","保留","候補なし","","","",""
"60","manual","十三駅","10","十三整体園","十三駅西口","https://www.esthe-ranking.jp/juso/shop-detail/696e0951-2cb7-4539-908a-d97e9dd9d39b/","0","保留","候補なし","","","",""
"61","manual","十三駅","10","美少女〜first class〜","十三駅","https://www.esthe-ranking.jp/juso/shop-detail/d8060523-6468-4e5b-a6f4-3a42088de49c/","0","保留","候補なし","","","",""
"62","manual","堺筋本町駅","9","CARNET（カルネ）","堺筋本町駅6番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/e7149b3b-d5a3-4c58-87ac-b8f07245923c/","0","保留","候補なし","","","",""
"63","manual","堺筋本町駅","9","Honey milk（ハニーミルク）","堺筋本町駅5番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/ad9153f8-7e57-4432-8e74-4a06d7f0b32b/","0","保留","候補なし","","","",""
"64","manual","堺筋本町駅","9","Mar（マール）","堺筋本町駅3号出口","https://www.esthe-ranking.jp/honmachi/shop-detail/b4d5dfce-5da7-4ca4-903a-b396d5bfacfc/","0","保留","候補なし","","","",""
"65","manual","堺筋本町駅","9","ジャスミン","堺筋本町駅13番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/9b247af3-ea8e-499c-9f42-96aabd57a108/","0","保留","候補なし","","","",""
"66","manual","堺筋本町駅","9","ねこ娘","堺筋本町駅12番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/76d51fb5-1937-4c86-bf51-c3b453e386c8/","0","保留","候補なし","","","",""
"67","manual","堺筋本町駅","9","プールサイド","堺筋本町駅10番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/ab1871f9-640f-455e-8930-b065f54e4400/","0","保留","候補なし","","","",""
"68","manual","堺筋本町駅","9","ラブ＆ピーチ","堺筋本町駅12番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/f27c08f0-96d9-4aac-9b2d-c73ec9dc9c54/","0","保留","候補なし","","","",""
"69","manual","堺筋本町駅","9","濡れ濡れガール","堺筋本町駅3番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/af7c96fc-5f1c-4198-ba4e-1c521db630c8/","0","保留","候補なし","","","",""
"70","manual","堺筋本町駅","9","瑠璃癒（るりいやし）","堺筋本町駅3番出口","https://www.esthe-ranking.jp/honmachi/shop-detail/d3fa6f85-945b-41ac-b2aa-ecf132325f7b/","0","保留","候補なし","","","",""
"71","manual","江坂駅","6","kiss me","江坂駅8番出口","https://www.esthe-ranking.jp/esaka/shop-detail/991e83c5-4399-45a7-be92-7d1d78a5e6ff/","0","保留","候補なし","","","",""
"72","manual","江坂駅","6","キラキラ","江坂駅8番出口","https://www.esthe-ranking.jp/esaka/shop-detail/5396eaa3-ed91-4639-84c4-4cf979179191/","0","保留","候補なし","","","",""
"73","manual","江坂駅","6","今すぐKiss Me","江坂駅","https://www.esthe-ranking.jp/esaka/shop-detail/52527dc1-33fb-4fc9-a9d9-b6fc348ba78a/","0","保留","候補なし","","","",""
"74","manual","江坂駅","6","神の極楽plus","江坂駅","https://www.esthe-ranking.jp/esaka/shop-detail/77358d13-0821-4864-89f1-b9a3d1ac8b49/","0","保留","候補なし","","","",""
"75","manual","江坂駅","6","濡れピーチ（ぬれピーチ）","江坂駅8番出口","https://www.esthe-ranking.jp/esaka/shop-detail/54c717e2-b566-460a-8bc3-96cb419eba14/","0","保留","候補なし","","","",""
"76","manual","江坂駅","6","優しい","江坂駅","https://www.esthe-ranking.jp/esaka/shop-detail/eb6b9d50-2b1c-47fa-9144-60758943d878/","0","保留","候補なし","","","",""
"77","manual","堺東駅","4","ゆらか","堺東駅","https://www.esthe-ranking.jp/sakai/shop-detail/db19397f-fd66-40de-b4c7-40315cd20c05/","0","保留","候補なし","","","",""
"78","manual","堺東駅","4","花水木","堺東駅西口","https://www.esthe-ranking.jp/sakai/shop-detail/51d32618-44a3-4e92-a9e6-0fd5d929c67e/","0","保留","候補なし","","","",""
"79","manual","堺東駅","4","韓国メンズエステ feeling-フィーリング- 堺東ルーム","堺東駅","https://www.esthe-ranking.jp/sakai/shop-detail/68a408b0-7294-4737-8eb6-c9c1cb3496ad/","0","保留","候補なし","","","",""
"80","manual","堺東駅","4","癒苑（ゆえん）","堺東駅","https://www.esthe-ranking.jp/sakai/shop-detail/ff4add51-45b6-424f-93d4-26d63f25a5c2/","0","保留","候補なし","","","",""
"81","manual","大国町駅","4","チュウリぴゅ","大国町駅1番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/14fc278f-5bd7-45d5-a08c-c9b6e221e0b1/","0","保留","候補なし","","","",""
"82","manual","大国町駅","4","秘め姫21","大国町駅3番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/0e9c5950-3cf9-4767-a30b-e336da9d6302/","0","保留","候補なし","","","",""
"83","manual","大国町駅","4","恋のマシマシSPA","大国町駅3番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/41bd961a-c56f-4dd0-8b9f-0a9b1048257e/","0","保留","候補なし","","","",""
"84","manual","大国町駅","4","恋人デートエステ","大国町駅4番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/99675ace-7cca-44eb-81ef-1b4c4348d298/","0","保留","候補なし","","","",""
"85","manual","谷町九丁目駅","4","Royal Honey","谷町九丁目駅3番出口","https://www.esthe-ranking.jp/tanikyu/shop-detail/49fbb977-914e-494a-90a4-6ab267efafd1/","0","保留","候補なし","","","",""
"86","manual","谷町九丁目駅","4","ぐりくり女子","谷町九丁目駅1番出口","https://www.esthe-ranking.jp/tanikyu/shop-detail/91361033-202e-48aa-8b63-e8a76b47a4b3/","0","保留","候補なし","","","",""
"87","manual","谷町九丁目駅","4","まんきつガール","谷町九丁目駅1番出口","https://www.esthe-ranking.jp/tanikyu/shop-detail/3e68f4bd-ecb5-4a9f-9b20-039756652f76/","0","保留","候補なし","","","",""
"88","manual","谷町九丁目駅","4","癒してね～","谷町九丁目駅3番出口","https://www.esthe-ranking.jp/tanikyu/shop-detail/c2112609-fedc-4d6e-b1f6-978e5c38bbb5/","0","保留","候補なし","","","",""
"89","manual","難波駅","4","Alice（アリス）","難波駅E7出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/ed033e3a-e0c4-4c45-a641-7f7397573374/","0","保留","候補なし","","","",""
"90","manual","難波駅","4","SUN（サン）","難波駅25番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/af7e2426-a8b4-4908-b6c9-e0817b4b8741/","0","保留","候補なし","","","",""
"91","manual","難波駅","4","艶女美人（えんじょびじん）","難波駅5番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/2f7aafeb-36bf-4022-8da5-1e4a1f83d360/","0","保留","候補なし","","","",""
"92","manual","難波駅","4","泡姬ヤラピー","難波駅32番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/7d963112-9a0e-44ee-92db-5eb84e372256/","0","保留","候補なし","","","",""
"93","manual","布施駅","4","桜～sakura～","布施駅中央出口","https://www.esthe-ranking.jp/higashiosaka/shop-detail/def0d99d-d24b-4a5e-a9aa-39466021b778/","0","保留","候補なし","","","",""
"94","manual","布施駅","4","純心スパ","布施駅北口","https://www.esthe-ranking.jp/higashiosaka/shop-detail/0656edb8-2fe9-43e5-9f79-b97a2eb33695/","0","保留","候補なし","","","",""
"95","manual","布施駅","4","夢のひととき","布施駅中央北出口","https://www.esthe-ranking.jp/higashiosaka/shop-detail/304c8e37-38eb-4e8f-b455-e22351186adb/","0","保留","候補なし","","","",""
"96","manual","布施駅","4","麗（Rei）","布施駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/b6b64876-d427-466f-961d-6aae5ddd63e4/","0","保留","候補なし","","","",""
"97","manual","なんば駅","3","サパ","なんば駅14番口","https://www.esthe-ranking.jp/osakaminami/shop-detail/d1fdcac8-ba33-4987-bb47-7d2a9e9ca877/","0","保留","候補なし","","","",""
"98","manual","なんば駅","3","ハーモニー～harmony～","なんば駅31番出口","https://www.esthe-ranking.jp/osakaminami/shop-detail/a74e310a-96fe-45d0-8783-fa4a4deb67c5/","0","保留","候補なし","","","",""
"99","manual","なんば駅","3","恋メンズエステ","なんば駅","https://www.esthe-ranking.jp/osakaminami/shop-detail/2ce770be-f139-4610-b6e7-eea13c05309b/","0","保留","候補なし","","","",""
"100","manual","扇町駅・天神橋筋六丁目駅","3","ハッピーDay","扇町駅・天神橋筋六丁目駅","https://www.esthe-ranking.jp/tenma/shop-detail/fd8d3bfe-34d1-4973-94d8-b76f8ede52cd/","0","保留","候補なし","","","",""
"101","manual","扇町駅・天神橋筋六丁目駅","3","雅〜MIYABI","扇町駅・天神橋筋六丁目駅","https://www.esthe-ranking.jp/tenma/shop-detail/1e5387ce-631a-4bcd-a5fd-ce502b104eba/","0","保留","候補なし","","","",""
"102","manual","扇町駅・天神橋筋六丁目駅","3","極上美女","扇町駅・天神橋筋六丁目駅","https://www.esthe-ranking.jp/tenma/shop-detail/e2f04ba1-892c-4001-8f7f-392a5f70f04f/","0","保留","候補なし","","","",""
"103","manual","長堀橋駅","3","ForeverLove（フォーエバーラブ）","長堀橋駅7番出口","https://www.esthe-ranking.jp/shinsaibashi/shop-detail/4497564e-bbab-4844-99a6-dc73cb0c3e24/","0","保留","候補なし","","","",""
"104","manual","長堀橋駅","3","やすらぎ","長堀橋駅7番出口","https://www.esthe-ranking.jp/shinsaibashi/shop-detail/5ecf881b-986e-40c8-8171-6c22fd34524b/","0","保留","候補なし","","","",""
"105","manual","長堀橋駅","3","好き好き","長堀橋駅1番出口","https://www.esthe-ranking.jp/shinsaibashi/shop-detail/9cb34804-99cd-4739-b637-8b1af9c610ad/","0","保留","候補なし","","","",""
"106","manual","京橋駅","2","ぬるぬるキャット","京橋駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/1f6feec2-a7ff-42df-929b-87062494060f/","0","保留","候補なし","","","",""
"107","manual","京橋駅","2","爽楽園","京橋駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/fd95b86f-3321-4c96-9228-561a4d1ad7b2/","0","保留","候補なし","","","",""
"108","manual","近鉄八尾駅","2","ときめき彼女","近鉄八尾駅中央北口","https://www.esthe-ranking.jp/higashiosaka/shop-detail/d9750fc5-6176-41c2-ac0e-7a96e67c9c5e/","0","保留","候補なし","","","",""
"109","manual","近鉄八尾駅","2","八尾癒しの国","近鉄八尾駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/922c6b59-fe95-4df8-bc62-6d5badb58ad2/","0","保留","候補なし","","","",""
"110","manual","近鉄八尾駅・布施駅・高井田駅","2","Million Heart","近鉄八尾駅・布施駅・高井田駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/4767e3de-48b3-4838-945c-b76843953625/","0","保留","候補なし","","","",""
"111","manual","近鉄八尾駅・布施駅・高井田駅","2","ミセス美オーラ","近鉄八尾駅・布施駅・高井田駅","https://www.esthe-ranking.jp/higashiosaka/shop-detail/12e10fb9-65b1-4ea3-bc25-149275ba4516/","0","保留","候補なし","","","",""
"112","manual","恵美須町駅","2","えびす","恵美須町駅1-B東出口1分","https://www.esthe-ranking.jp/osakaminami/shop-detail/026c3277-46b2-4b57-9c3c-8a9bf3c9657b/","0","保留","候補なし","","","",""
"113","manual","恵美須町駅","2","リフレ本舗","恵美須町駅","https://www.esthe-ranking.jp/osakaminami/shop-detail/9af8ae9d-5217-49bb-8bda-f7dc181ab824/","0","保留","候補なし","","","",""
"114","manual","高槻市駅・江坂駅・高槻駅","2","極上美女","高槻市駅・江坂駅・高槻駅","https://www.esthe-ranking.jp/esaka/shop-detail/3b2162c6-5a5f-4b9c-9d42-dc119e6beba5/","0","保留","候補なし","","","",""
"115","manual","高槻市駅・江坂駅・高槻駅","2","月のウサギ","高槻市駅・江坂駅・高槻駅","https://www.esthe-ranking.jp/esaka/shop-detail/8a6f0667-aa21-4cfb-924c-73a546ddcff3/","0","保留","候補なし","","","",""
"116","manual","守口市駅","2","エンジェル","守口市駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/511f6721-4df0-4042-949b-7ff8c17d26fb/","0","保留","候補なし","","","",""
"117","manual","守口市駅","2","可愛い恋人","守口市駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/f622f9c5-1c15-4553-a41a-09961d1df2a6/","0","保留","候補なし","","","",""
"118","manual","新大阪駅","2","ぱいぱいにゃんにゃん","新大阪駅東口","https://www.esthe-ranking.jp/nishinakajima/shop-detail/553f1f48-e97b-4dcd-a154-82ad67a58be5/","0","保留","候補なし","","","",""
"119","manual","新大阪駅","2","秘密彼女","新大阪駅","https://www.esthe-ranking.jp/nishinakajima/shop-detail/3885706b-cf41-442e-a5d0-6e034d100ded/","0","保留","候補なし","","","",""
"120","manual","扇町駅","2","もりの風","扇町駅4番出口","https://www.esthe-ranking.jp/tenma/shop-detail/c5c6b22c-b74e-4ca1-a31d-1bcef61f0bf3/","0","保留","候補なし","","","",""
"121","manual","扇町駅","2","癒しの心","扇町駅4番出口","https://www.esthe-ranking.jp/tenma/shop-detail/f90c684d-24a8-4762-91b4-5b23d63cb12a/","0","保留","候補なし","","","",""
"122","manual","大阪城北詰駅","2","PAL","大阪城北詰駅2番出口","https://www.esthe-ranking.jp/kyobashi/shop-detail/68c75b51-d6be-4a4c-8be3-6f0da1fde1cf/","0","保留","候補なし","","","",""
"123","manual","大阪城北詰駅","2","美人SPA","大阪城北詰駅1番出口","https://www.esthe-ranking.jp/kyobashi/shop-detail/cf7561c0-609c-4fd6-825d-ac2054de8961/","0","保留","候補なし","","","",""
"124","manual","天神橋筋六丁目駅","2","プライベート空間","天神橋筋六丁目駅","https://www.esthe-ranking.jp/tenma/shop-detail/d920ca77-775e-419c-b26f-8456d17829c7/","0","保留","候補なし","","","",""
"125","manual","天神橋筋六丁目駅","2","美人リラクゼーションエステ","天神橋筋六丁目駅13番口","https://www.esthe-ranking.jp/tenma/shop-detail/9af86d2e-8ace-4317-b0db-8baef3f4172c/","0","保留","候補なし","","","",""
"126","manual","土居駅","2","パロパロクラブ","土居駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/e68ec6c2-ce55-4696-a2df-00b0c69093f6/","0","保留","候補なし","","","",""
"127","manual","土居駅","2","楽園（らくえん）","土居駅より","https://www.esthe-ranking.jp/kyobashi/shop-detail/fa10fe0f-0b51-457a-808f-0e76f2fe3926/","0","保留","候補なし","","","",""
"128","manual","土居駅・枚方市駅・京橋駅・萱島駅","2","大人の楽園","土居駅・枚方市駅・京橋駅・萱島駅","https://www.esthe-ranking.jp/kyobashi/shop-detail/1ddf0761-f31f-4001-95b5-7a03beb09eeb/","0","保留","候補なし","","","",""
"129","manual","梅田駅","2","びしょ濡れ女王","梅田駅地下ホワイティーM14出口","https://www.esthe-ranking.jp/osakakita/shop-detail/4bed2397-bc23-40ab-b970-773f05ec2d84/","0","保留","候補なし","","","",""
"130","manual","梅田駅","2","濡れパイン","梅田駅2番出口","https://www.esthe-ranking.jp/osakakita/shop-detail/9f9dc224-84ae-4c8d-88d9-baa5f617cf91/","0","保留","候補なし","","","",""
